county_name,cbp_small_biz_count,crunchbase_count,state_abbv,pop_est_2013,state_name,crunchbase_per_capita,cbp_per_capita,land_area_sqmile,pop_density
Hartford County,22542,130,CT,898272,Connecticut,0.000144722,0.025094849,735.097,1221.977508
Erie County,22465,97,NY,919866,New York,0.00010545,0.024422035,1042.693,882.2021439
Bergen County,31462,162,NJ,925328,New Jersey,0.000175073,0.034000916,233.009,3971.211412
Marion County,22649,249,IN,928281,Indiana,0.000268238,0.024398862,1182.326,273.7096199
Pinellas County,26685,118,FL,929048,Florida,0.000127012,0.028722951,273.799,3393.175286
DuPage County,33226,157,IL,932126,Illinois,0.000168432,0.035645396,327.499,2846.19495
Shelby County,19343,172,TN,939465,Tennessee,0.000183083,0.020589378,758.523,29.16061873
Fairfield County,26916,308,CT,939904,Connecticut,0.000327693,0.028636967,686.277,33.6729921
Fresno County,15938,21,CA,955272,California,2.19833E-05,0.016684253,5957.991,160.3345826
Milwaukee County,19296,63,WI,956023,Wisconsin,6.5898E-05,0.020183615,241.402,3960.294447
Westchester County,31613,118,NY,968802,New York,0.0001218,0.032631023,430.497,2250.426832
Wake County,25981,465,NC,974289,North Carolina,0.000477271,0.026666626,835.219,1166.507227
Honolulu County,21115,91,HI,983429,Hawaii,9.25334E-05,0.021470793,600.743,1637.021155
Fulton County,33715,1014,GA,984293,Georgia,0.001030181,0.034253012,865.595,41.98961408
Mecklenburg County,28599,191,NC,990977,North Carolina,0.000192739,0.028859398,625.485,50.24261173
Pima County,19915,98,AZ,996554,Arizona,9.83389E-05,0.019983864,9187.036,108.4739409
St. Louis County,30756,344,MO,1001444,Missouri,0.000343504,0.030711652,6247.401,32.09974836
Montgomery County,26670,505,MD,1016677,Maryland,0.000496716,0.02623252,779.88,11.83002513
Salt Lake County,29790,489,UT,1079721,Utah,0.000452895,0.027590461,742.282,1454.59677
Contra Costa County,22286,205,CA,1094205,California,0.000187351,0.020367299,715.937,1528.353752
Travis County,31008,1571,TX,1120954,Texas,0.001401485,0.027662152,990.202,1132.045785
Fairfax County,29440,550,VA,1130924,Virginia,0.000486328,0.026031811,390.969,2892.618085
Hennepin County,39032,580,MN,1198778,Minnesota,0.000483826,0.032559823,553.591,2165.457892
Franklin County,26982,212,OH,1212263,Ohio,0.00017488,0.022257546,690.426,81.59455177
Orange County,33178,179,FL,1225267,Florida,0.000146091,0.02707818,811.686,462.7306619
Allegheny County,33457,664,PA,1231527,Pennsylvania,0.000539168,0.027167086,730.075,1686.849981
Oakland County,38282,167,MI,1231640,Michigan,0.000135592,0.031082134,867.663,1419.491208
Cuyahoga County,32879,383,OH,1263154,Ohio,0.000303209,0.026029289,457.191,2762.858411
Hillsborough County,33200,173,FL,1291578,Florida,0.000133945,0.02570499,876.139,461.0969264
Nassau County,47619,96,NY,1352146,New York,7.09983E-05,0.035217351,648.639,116.7213196
Palm Beach County,44180,312,FL,1372171,Florida,0.000227377,0.032197153,1969.763,696.6173088
Bronx County,17044,5,NY,1418733,New York,3.52427E-06,0.012013536,42.096,33702.32326
Sacramento County,27520,119,CA,1462131,California,8.13881E-05,0.018821843,964.644,1515.720826
Suffolk County,48625,109,NY,1499738,New York,7.26794E-05,0.03242233,912.051,1644.357607
Middlesex County,42674,3530,MA,1552802,Massachusetts,0.00227331,0.027481933,369.301,448.3118107
Philadelphia County,27122,375,PA,1553165,Pennsylvania,0.000241442,0.017462407,134.101,11582.05383
Alameda County,37020,1392,CA,1578891,California,0.000881631,0.023446837,739.017,2136.474533
New York County,104957,6159,NY,1626159,New York,0.003787453,0.064542889,22.829,71232.16085
Wayne County,31708,153,MI,1775273,Michigan,8.61839E-05,0.017860915,553.087,225.2502771
Bexar County,33778,188,TX,1817610,Texas,0.000103433,0.018583745,1239.82,1466.027327
Broward County,57531,245,FL,1838844,Florida,0.000133236,0.031286504,1209.785,1519.975863
Santa Clara County,46020,6692,CA,1862041,California,0.003593906,0.024714816,1290.1,1443.33075
Tarrant County,38669,91,TX,1911541,Texas,4.76056E-05,0.020229229,863.608,2213.435957
Clark County,40813,322,NV,2027868,Nevada,0.000158787,0.020126063,372.855,302.9005914
King County,64005,2383,WA,2044449,Washington,0.001165595,0.031306724,2115.566,966.383937
San Bernardino County,32356,97,CA,2088371,California,4.64477E-05,0.015493416,20056.938,104.1221247
Riverside County,34706,69,CA,2292507,California,3.00981E-05,0.015138885,7206.48,318.1174443
Queens County,46414,55,NY,2296175,New York,2.39529E-05,0.020213616,108.532,21156.66347
Dallas County,62224,744,TX,2480331,Texas,0.00029996,0.025086974,978.695,42.91020185
Kings County,53123,339,NY,2592149,New York,0.00013078,0.020493806,1389.42,108.6496524
Miami-Dade County,78493,404,FL,2617176,Florida,0.000154365,0.029991487,1897.716,1379.118899
Orange County,89271,1261,CA,3114363,California,0.000404898,0.028664289,903.429,1356.240501
San Diego County,78212,1867,CA,3211252,California,0.000581393,0.02435561,4206.63,763.3787616
Maricopa County,85793,552,AZ,4009412,Arizona,0.000137676,0.021397901,9200.143,435.7988783
Harris County,95012,570,TX,4336853,Texas,0.000131432,0.021908052,1703.478,2545.881426
Cook County,129540,1431,IL,5240700,Illinois,0.000273055,0.024718072,945.326,5543.801821
Los Angeles County,252654,3356,CA,10017068,California,0.000335028,0.02522235,4057.884,2468.54469
