county_name,cbp_small_biz_count,crunchbase_count,state_abbv,pop_est_2013,state_name,crunchbase_per_capita,cbp_per_capita,land_area_sqmile,pop_density
Clay County,246,0,KY,21364,Kentucky,0,0.011514698,214.751,49.28498587
Clay County,98,0,WV,9244,West Virginia,0,0.010601471,195.381,15.58493405
Clayton County,537,1,IA,17773,Iowa,5.62651E-05,0.03021437,778.539,22.82865727
Clayton County,3756,2,GA,264220,Georgia,7.56945E-06,0.014215427,141.57,1866.355866
Clear Creek County,326,0,CO,9031,Colorado,0,0.036097885,395.227,22.85015953
Clearfield County,2001,0,PA,81174,Pennsylvania,0,0.02465075,1144.722,70.91154009
Clearwater County,229,0,ID,8577,Idaho,0,0.026699312,2457.274,3.490453242
Clearwater County,203,0,MN,8838,Minnesota,0,0.022968998,998.94,8.847378221
Cleburne County,577,0,AR,25686,Arkansas,0,0.022463599,560.1,26.7702196
Cleburne County,152,0,AL,14994,Alabama,0,0.010137388,553.692,46.390412
Clermont County,3515,7,OH,200218,Ohio,3.49619E-05,0.017555864,452.1,442.8621986
Cleveland County,5522,12,OK,269340,Oklahoma,4.45534E-05,0.020501968,597.783,14.37478148
Cleveland County,1921,0,NC,97047,North Carolina,0,0.019794533,538.766,499.920188
Cleveland County,81,0,AR,8593,Arkansas,0,0.009426277,464.252,209.0394872
Clinch County,126,0,GA,6795,Georgia,0,0.018543046,800.222,8.491393638
Clinton County,1176,0,IA,48420,Iowa,0,0.024287485,1037.852,78.61525535
Clinton County,880,0,IL,37907,Illinois,0,0.02321471,887.984,44.99405395
Clinton County,1865,3,NY,81591,New York,3.67688E-05,0.022857913,694.915,69.67758647
Clinton County,758,1,PA,39954,Pennsylvania,2.50288E-05,0.018971818,566.408,135.483609
Clinton County,192,0,KY,10146,Kentucky,0,0.018923714,474.085,79.95823534
Clinton County,370,0,MO,20571,Missouri,0,0.017986486,418.956,49.10062154
Clinton County,574,0,IN,32916,Indiana,0,0.017438328,408.684,102.6343091
Clinton County,715,0,OH,41945,Ohio,0,0.017046132,405.07,81.26002913
Clinton County,1305,0,MI,76739,Michigan,0,0.017005695,197.246,51.43830547
Cloud County,309,0,KS,9292,Kansas,0,0.033254412,715.342,12.98959099
Coahoma County,555,0,MS,25182,Mississippi,0,0.022039552,552.442,45.58306573
Coal County,84,0,OK,5867,Oklahoma,0,0.014317368,516.682,11.35514688
Cobb County,19106,48,GA,717190,Georgia,6.69279E-05,0.026640081,339.549,2112.184103
Cochise County,2241,0,AZ,129473,Arizona,0,0.017308628,6165.69,20.9989474
Cochran County,52,0,TX,3016,Texas,0,0.017241379,775.15,3.890859834
Cocke County,484,0,TN,35479,Tennessee,0,0.013641873,434.565,81.6425621
Coconino County,3514,2,AZ,136539,Arizona,1.46478E-05,0.025736237,18618.885,7.333360725
